,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofFloors,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity
0,Hotel,7,1927,12,60.0,81.69999695,182.5,2003882.0,3946027.0,1276453.0,2.83
1,Hotel,7,1996,11,61.0,94.80000305,176.1000061,0.0,3242851.0,5145082.0,2.86
2,Hotel,7,1969,41,43.0,96.0,241.8999939,21566554.0,49526664.0,1493800.0,2.19
3,Hotel,7,1926,10,56.0,110.8000031,216.1999969,2214446.25,2768924.0,1811213.0,4.67
4,Hotel,7,1980,18,75.0,114.8000031,211.3999939,0.0,5368607.0,8803998.0,2.88
5,Other,7,1999,2,62.36363636363637,136.1000061,316.2999878,0.0,7371434.0,4715182.0,3.1
6,Hotel,7,1926,11,27.0,70.80000305,146.6000061,0.0,2811215.0,2947580.0,2.12
7,Other,7,1926,8,62.36363636363637,61.29999924,141.6999969,2276286.5,3636655.0,385189.0,2.16
8,Hotel,7,1904,15,43.0,83.69999695,180.8999939,0.0,7297919.0,6425900.0,2.39
10,Hotel,7,1969,11,30.0,119.5999985,228.1999969,5237165.5,6187627.0,4591850.0,4.51
11,Hotel,7,1998,25,36.0,80.0,199.0,5999360.5,18083049.0,2858700.0,2.22
12,Hotel,7,1928,9,48.0,101.5,153.6000061,1656352.5,1343000.0,3596705.0,5.05
13,Hotel,7,1980,33,58.0,75.5,179.8999939,4337738.5,13904183.0,4083440.0,2.05
14,Hotel,7,1922,11,35.0,159.5,297.3999939,4870847.5,3832369.0,2046793.0,5.55
15,Other,7,2004,11,62.36363636363637,50.79999924,155.6000061,737559.5,17851297.0,0.0,0.44
16,Other,7,1930,6,62.36363636363637,76.59999847,157.3999939,4592347.5,4453868.0,910180.0,4.18
17,Hotel,7,1983,28,31.0,96.30000305,228.5,0.0,21225277.0,12331475.0,1.93
18,Mixed Use Property,7,1907,5,61.96153846153846,132.3999939,280.7000122,1776201.875,3764791.0,2065091.0,4.75
19,Hotel,7,1916,10,39.0,97.30000305,225.5,3430862.0,5908370.0,815376.0,3.35
20,Other,7,1916,10,76.0,83.69999695,182.6999969,0.0,24357833.0,20626631.0,2.34
21,Other,3,1985,19,62.36363636363637,124.1999969,229.5,0.0,18257661.0,29602150.0,4.41
23,Hotel,4,2001,6,84.0,63.20000076,148.0,0.0,2266231.0,1397303.0,1.02
24,University,7,1928,7,63.63590772316951,90.69999695,173.0,0.0,4647474.0,6696211.0,3.07
25,Other,7,1930,2,62.36363636363637,19.5,61.20000076,0.0,1310236.0,0.0,0.14
26,Hotel,7,1991,8,61.22222222222222,45.5,58.0,0.0,572307.0,4755745.0,1.62
27,Hotel,7,2001,10,57.0,85.80000305,181.1000061,0.0,5610706.0,5451210.0,1.91
29,Hotel,7,1978,5,57.0,92.90000153,199.6999969,0.0,2346349.0,2110365.0,1.88
32,Small- and Mid-Sized Office,4,1906,3,67.21794871794872,61.5,106.5,0.0,1352843.0,2793077.0,1.81
33,Hotel,4,1994,4,29.0,81.5,162.5,0.0,3016399.0,3652169.0,2.63
34,Self-Storage Facility,4,1955,2,63.63590772316951,12.10000038,35.20000076,0.0,281265.0,37100.0,0.04
35,Mixed Use Property,2,1992,3,8.0,221.6999969,388.2000122,0.0,150476283.0,297909000.0,34.09
